Samples:R1.bf.size:R1.bf.len:R2.bf.size:R2.bf.len:R1.af.size:R1.af.len:R2.af.size:R2.af.len:size.ovelap.avg:len.overlap.avg
GT1-12-1_S267_L001_Q_23 : 24215: 258.778: 24215: 256.972: 19343: 280.805: 19343: 217.003: 7590: 435.97
GT1-12-2_S275_L001_Q_23 : 5765: 260.89: 5765: 260.993: 4706: 286.445: 4706: 213.036: 1310: 440.972
GT0-2-1_S31_L001_Q_23 : 61572: 240.745: 61572: 241.18: 46488: 275.634: 46488: 215.642: 20379: 401.8
GT1-12-3_S283_L001_Q_23 : 21783: 252.656: 21783: 253.692: 17193: 290.313: 17193: 213.005: 5442: 391.658
GT0-22-1_S224_L001_Q_23 : 38159: 236.204: 38159: 237.976: 27817: 277.587: 27817: 215.005: 12265: 386.676
GT1-1-2_S201_L001_Q_23 : 56548: 237.957: 56548: 238.957: 42530: 272.41: 42530: 214.363: 19589: 395.002
GT0-22-2_S232_L001_Q_23 : 29503: 242.036: 29503: 243.228: 22120: 272.938: 22120: 212.314: 8385: 413.385
WT1-18_S140_L001_Q_23 : 44429: 191.501: 44429: 191.783: 24328: 280.317: 24328: 240.586: 18442: 437.965
GT1-13-1_S196_L001_Q_23 : 11578: 255.095: 11578: 256.777: 9306: 290.961: 9306: 211.632: 2025: 437.224
GT0-22-3_S240_L001_Q_23 : 49832: 247.917: 49832: 249.316: 38680: 275.486: 38680: 213.556: 16854: 379.907
WT1-19_S148_L001_Q_23 : 20834: 289.933: 20834: 290.155: 19590: 288.184: 19590: 244.942: 14551: 452.869
MT3-6-3_S240_L001_Q_23 : 30356: 283.745: 30356: 283.524: 27801: 289.942: 27801: 236.401: 18252: 452.71
GT1-13-2_S204_L001_Q_23 : 26654: 209.971: 26654: 212.86: 16790: 284.959: 16790: 212.413: 5552: 416.923
GT0-2-2_S39_L001_Q_23 : 30827: 236.296: 30827: 237.489: 22524: 275.764: 22524: 212.648: 8870: 402.621
WT1-1_S99_L001_Q_23 : 17050: 285.346: 17050: 285.498: 15669: 281.601: 15669: 245.301: 11402: 449.591
MT3-7-1_S248_L001_Q_23 : 22560: 266.395: 22560: 266.552: 19123: 290.098: 19123: 236.363: 12629: 451.983
